月份,上海市,云南省,内蒙古自治区,北京市,台湾省,吉林省,四川省,天津市,宁夏回族自治区,安徽省,山东省,山西省,广东省,广西壮族自治区,新疆维吾尔自治区,江苏省,江西省,河北省,河南省,浙江省,海南省,湖北省,湖南省,澳门特别行政区,甘肃省,福建省,西藏自治区,贵州省,辽宁省,重庆市,陕西省,青海省,香港特别行政区,黑龙江省
2020-01,141.80645161290323,113.35483870967742,99.93103448275862,186.1290322580645,57.0,96.96666666666668,162.61290322580646,117.06896551724138,73.42105263157895,121.19354838709675,180.2258064516129,122.90322580645162,196.6451612903226,119.90322580645162,86.45454545454545,188.29032258064515,121.35483870967742,147.74193548387098,154.6451612903226,163.8709677419355,90.2608695652174,129.67741935483872,138.32258064516128,57.0,87.82758620689656,134.74193548387098,57.125,106.83870967741936,128.8709677419355,123.70967741935485,134.1290322580645,72.46666666666667,64.44444444444444,96.35483870967742
2020-02,146.82758620689654,127.27586206896552,112.55172413793105,177.55172413793105,58.0,109.71428571428572,166.0344827586207,119.93103448275862,74.61904761904762,137.3793103448276,182.31034482758625,144.3793103448276,194.20689655172413,119.96551724137932,86.76923076923077,175.9655172413793,120.58620689655172,167.82758620689654,171.0344827586207,183.06896551724137,77.32,144.9655172413793,140.3793103448276,,103.21428571428572,143.31034482758622,57.333333333333336,112.03448275862068,131.06896551724137,130.89655172413794,135.17241379310346,69.66666666666667,57.5,118.3793103448276
2020-03,169.25806451612902,139.32258064516128,121.2258064516129,200.3548387096774,57.0,118.4516129032258,186.0967741935484,114.51612903225806,79.79310344827586,151.25806451612902,200.0967741935484,155.5483870967742,231.4193548387097,134.48387096774192,109.33333333333331,202.2258064516129,138.93548387096774,173.48387096774192,185.9032258064516,233.80645161290323,85.70370370370371,160.6451612903226,146.70967741935485,58.0,115.58064516129032,150.19354838709677,77.23809523809524,136.38709677419354,154.25806451612902,144.29032258064515,141.3548387096774,78.75,62.90909090909091,135.19354838709677
2020-04,168.26666666666668,134.9,131.56666666666666,223.26666666666668,57.0,121.26666666666668,195.63333333333333,128.16666666666666,79.37931034482759,152.9,207.9,148.23333333333332,250.13333333333333,130.83333333333334,119.73333333333332,204.76666666666668,146.9,174.9,185.36666666666667,205.4,87.29629629629629,151.0,148.43333333333334,57.0,113.63333333333334,162.36666666666667,70.26315789473684,130.6,154.16666666666666,139.03333333333333,143.73333333333332,84.32,70.0,132.96666666666667
2020-05,167.16129032258064,137.48387096774192,125.93548387096774,218.93548387096772,57.0,121.0,216.6451612903226,119.58064516129032,82.72,150.51612903225808,201.2258064516129,152.1290322580645,247.70967741935485,137.4516129032258,109.46666666666668,213.93548387096772,137.6451612903226,196.5483870967742,188.03225806451613,226.6451612903226,92.13333333333334,154.4516129032258,147.06451612903226,57.0,108.80645161290325,156.8709677419355,68.875,129.32258064516128,150.1290322580645,135.61290322580646,147.5806451612903,73.88461538461539,58.76923076923077,133.5806451612903
2020-06,169.13333333333333,148.36666666666667,141.4,249.4333333333333,57.0,121.73333333333332,214.96666666666667,135.36666666666667,88.03571428571429,163.26666666666668,229.06666666666663,158.06666666666666,256.5,146.63333333333333,114.66666666666669,256.8333333333333,148.56666666666666,174.66666666666666,192.2333333333333,218.46666666666667,98.79310344827586,165.06666666666666,157.46666666666667,57.0,114.4,164.2,65.3913043478261,130.16666666666666,153.26666666666668,154.86666666666667,160.86666666666667,85.46153846153847,57.0,135.96666666666667
2020-07,154.74193548387098,132.2258064516129,116.19354838709675,196.1290322580645,57.0,101.5483870967742,169.25806451612902,117.2258064516129,72.33333333333333,138.83870967741936,185.29032258064515,142.3548387096774,208.16129032258064,129.25806451612902,89.96551724137932,192.29032258064515,120.16129032258064,151.83870967741936,162.06451612903226,179.1290322580645,95.20689655172414,133.32258064516128,137.38709677419354,57.0,108.6774193548387,141.09677419354838,78.58823529411765,121.35483870967742,132.4193548387097,131.25806451612902,135.3548387096774,77.73333333333333,57.57142857142857,109.09677419354838
2020-08,140.96774193548387,103.7,90.19354838709675,163.83870967741936,,89.45161290322581,146.70967741935485,103.19354838709675,68.21739130434783,123.25806451612904,168.51612903225808,112.03225806451611,191.83870967741936,103.6774193548387,89.39285714285714,177.70967741935485,105.19354838709675,148.1290322580645,142.38709677419354,164.2258064516129,76.96428571428571,123.0,117.93548387096774,57.0,93.3,123.64516129032258,57.333333333333336,96.03225806451611,110.80645161290325,106.4516129032258,119.19354838709675,58.5,57.66666666666666,97.70967741935485
2020-09,177.26666666666668,133.53333333333333,112.0,228.06666666666663,57.0,112.8,182.16666666666663,128.26666666666668,81.4090909090909,137.93333333333334,183.56666666666663,136.4,227.53333333333333,133.0,85.0,208.13333333333333,127.5,155.3,161.9,187.3,82.1923076923077,161.7,137.5,64.0,103.2,144.0,70.26315789473684,126.63333333333334,137.13333333333333,223.96666666666667,144.63333333333333,75.3,57.91666666666666,119.93333333333334
2020-10,181.96774193548387,145.1290322580645,118.25806451612904,225.8709677419355,57.0,126.35483870967742,192.83870967741936,119.83870967741936,77.33333333333333,150.5806451612903,206.7741935483871,154.6451612903226,250.48387096774192,144.09677419354838,95.35483870967742,224.74193548387095,131.6451612903226,160.5806451612903,184.7741935483871,213.4193548387097,87.37931034482759,170.19354838709677,160.5806451612903,64.0,105.16129032258064,154.0,78.5,124.3225806451613,146.83870967741936,178.74193548387098,150.83870967741936,72.91666666666667,69.0,129.83870967741936
