,名称,类别,申报单位,保护单位
792,高跷（上口子高跷）,扩展项目,辽宁省大洼县,盘锦市文化馆
793,高跷（独杆跷）,扩展项目,山东省泰安市,新泰市公共文化服务中心（新泰市文物保护中心、新泰市旅游推广中心）
794,高跷（高抬火轿）,扩展项目,河南省沁阳市,沁阳市文化馆（沁阳市非物质文化遗产保护中心）
795,永新盾牌舞,新增项目,江西省永新县,永新县文化和旅游发展中心
796,盾牌舞（藤牌舞）,扩展项目,浙江省瑞安市,瑞安市非物质文化遗产保护中心
797,翼城花鼓,新增项目,山西省翼城县,翼城县人民文化馆
798,泉州拍胸舞,新增项目,福建省泉州市,泉州市鲤城区文化馆
799,安塞腰鼓,新增项目,陕西省安塞县,延安市安塞区文化文物馆（延安市安塞区非物质文化遗产保护中心）
800,洛川蹩鼓,新增项目,陕西省洛川县,洛川县文化馆
801,兰州太平鼓,新增项目,甘肃省兰州市,皋兰县太平鼓协会
802,余杭滚灯,新增项目,浙江省杭州市余杭区,杭州市临平区文化馆
803,滚灯（奉贤滚灯）,扩展项目,上海市奉贤区,上海市奉贤区柘林镇社区党群服务中心（上海市奉贤区柘林镇文化体育服务中心）
804,滚灯（海盐滚灯）,扩展项目,浙江省海盐县,海盐县非物质文化遗产保护中心
805,土家族摆手舞,新增项目,湖南省湘西土家族苗族自治州,湘西土家族苗族自治州非物质文化遗产保护中心
806,土家族摆手舞（恩施摆手舞）,扩展项目,湖北省来凤县,来凤县文化旅游事业发展中心
807,土家族摆手舞（酉阳摆手舞）,扩展项目,重庆市酉阳土家族苗族自治县,酉阳土家族苗族自治县文化馆（酉阳土家族苗族自治县文化生态保护中心、酉阳土家族苗族自治县非物质文化遗产保护中心）
808,土家族撒叶儿嗬,新增项目,湖北省长阳土家族自治县,长阳土家族自治县民族民间传统文化保护中心
809,土家族撒叶儿嗬,扩展项目,湖北省五峰土家族自治县,五峰土家族自治县文化馆
810,土家族撒叶儿嗬,扩展项目,湖北省巴东县,巴东县文化和旅游事业发展中心
811,土家族撒叶儿嗬,扩展项目,湖南省桑植县,桑植县非物质文化遗产保护中心
812,弦子舞（巴塘弦子舞）,新增项目,四川省巴塘县,巴塘县文化馆
813,弦子舞（芒康弦子舞）,新增项目,西藏自治区,西藏自治区昌都市芒康县文化局
814,弦子舞（玉树依舞）,扩展项目,青海省玉树藏族自治州,玉树藏族自治州文化馆
815,锅庄舞（迪庆锅庄舞）,新增项目,云南省迪庆藏族自治州,迪庆藏族自治州非物质文化遗产保护中心
816,锅庄舞（昌都锅庄舞）,新增项目,西藏自治区,西藏自治区昌都市卡若区文化局
817,锅庄舞（玉树卓舞）,新增项目,青海省玉树藏族自治州,玉树藏族自治州文化馆
818,锅庄舞（甘孜锅庄）,扩展项目,四川省石渠县,石渠县文化馆
819,锅庄舞（甘孜锅庄）,扩展项目,四川省雅江县,雅江县旅游服务中心
820,锅庄舞（甘孜锅庄）,扩展项目,四川省新龙县,新龙县文化馆
821,锅庄舞（甘孜锅庄）,扩展项目,四川省德格县,德格县文化馆
822,锅庄舞（马奈锅庄）,扩展项目,四川省金川县,金川县文化馆
823,锅庄舞（称多白龙卓舞）,扩展项目,青海省称多县,称多县文化馆
824,锅庄舞（囊谦卓干玛）,扩展项目,青海省囊谦县,囊谦县文化馆
825,锅庄舞（甘南锅庄舞）,扩展项目,甘肃省甘南藏族自治州,甘南藏族自治州文化馆（甘南藏族自治州美术馆）
826,热巴舞（丁青热巴）,新增项目,西藏自治区,丁青县文化和旅游局（丁青县文物局、丁青县文化市场综合行政执法队）
827,热巴舞（那曲比如丁嘎热巴）,新增项目,西藏自治区,西藏那曲市比如县文化和旅游局
828,热巴舞,扩展项目,云南省迪庆藏族自治州,迪庆藏族自治州非物质文化遗产保护中心
829,日喀则扎什伦布寺羌姆,新增项目,西藏自治区,日喀则地区扎什伦布寺管理委员会
830,羌姆（拉康加羌姆）,扩展项目,西藏自治区洛扎县,西藏洛扎县文化局
831,羌姆（直孔嘎尔羌姆）,扩展项目,西藏自治区墨竹工卡县,西藏拉萨市墨竹工卡县直孔替寺管理委员会
832,羌姆（曲德寺阿羌姆）,扩展项目,西藏自治区贡嘎县,山南市贡嘎县贡嘎曲德寺管理委员会
833,羌姆（桑耶寺羌姆）,扩展项目,西藏自治区扎囊县,山南市桑耶寺管理委员会
834,羌姆（门巴族拔羌姆）,扩展项目,西藏自治区错那县,西藏错那县文化局（文物局）
835,羌姆（江洛德庆曲林寺尼姑羌姆）,扩展项目,西藏自治区日喀则市,日喀则市桑珠孜区文化和旅游局
836,羌姆（林芝米纳羌姆）,扩展项目,西藏自治区林芝县,西藏林芝市巴宜区文化和旅游局
837,苗族芦笙舞（锦鸡舞）,新增项目,贵州省丹寨县,丹寨县非物质文化遗产保护中心
838,苗族芦笙舞（鼓龙鼓虎-长衫龙）,新增项目,贵州省贵定县,贵定县文物保护站（贵定县非物质文化遗产保护中心）
839,苗族芦笙舞（滚山珠）,新增项目,贵州省纳雍县,纳雍县文物（非物质文化）管理所
840,苗族芦笙舞,扩展项目,贵州省雷山县,雷山县非物质文化遗产保护中心
841,苗族芦笙舞,扩展项目,贵州省关岭布依族苗族自治县,关岭布依族苗族自治县文化馆
842,苗族芦笙舞,扩展项目,贵州省榕江县,榕江县非物质文化遗产保护中心
843,苗族芦笙舞,扩展项目,贵州省水城县,六盘水市钟山区文化馆
844,苗族芦笙舞,扩展项目,贵州省普安县,普安县文化馆
845,朝鲜族农乐舞（乞粒舞）,新增项目,辽宁省本溪市,桓仁满族自治县文化旅游发展服务中心（桓仁满族自治县文物管理局）（桓仁满族自治县民俗博物馆）（桓仁满族自治县玉女山博物馆）（桓仁满族自治县文化馆）
846,朝鲜族农乐舞（象帽舞）,新增项目,吉林省延边朝鲜族自治州,汪清县文化馆
847,朝鲜族农乐舞,扩展项目,辽宁省铁岭市,铁岭市朝鲜族文化艺术馆
848,木鼓舞（反排苗族木鼓舞）,新增项目,贵州省台江县,台江县非物质文化遗产保护中心
849,木鼓舞（沧源佤族木鼓舞）,新增项目,云南省沧源佤族自治县,沧源佤族自治县文化馆
850,铜鼓舞（文山壮族、彝族铜鼓舞）,新增项目,云南省文山壮族苗族自治州,文山壮族苗族自治州非物质文化遗产保护和艺术研究中心
851,铜鼓舞（田林瑶族铜鼓舞）,扩展项目,广西壮族自治区田林县,田林县文化馆（田林县广播电视服务中心）
852,铜鼓舞（雷山苗族铜鼓舞）,扩展项目,贵州省雷山县,雷山县非物质文化遗产保护中心
853,铜鼓舞（南丹勤泽格拉）,扩展项目,广西壮族自治区南丹县,南丹县非物质文化遗产保护传承中心
854,傣族孔雀舞,新增项目,云南省瑞丽市,瑞丽市文化馆
855,达斡尔族鲁日格勒舞,新增项目,内蒙古自治区莫力达瓦达斡尔族自治旗,莫力达瓦达斡尔族自治旗文化馆（莫力达瓦达斡尔族自治旗非物质文化遗产保护中心）
856,达斡尔族鲁日格勒舞,新增项目,黑龙江省哈尔滨市,齐齐哈尔市梅里斯达斡尔族区文化馆
857,蒙古族安代舞,新增项目,内蒙古自治区库伦旗,库伦旗文化馆（库伦旗非物质文化遗产保护中心）
858,湘西苗族鼓舞,新增项目,湖南省湘西土家族苗族自治州,湘西土家族苗族自治州非物质文化遗产保护中心
859,湘西土家族毛古斯舞,新增项目,湖南省湘西土家族苗族自治州,湘西土家族苗族自治州非物质文化遗产保护中心
860,黎族打柴舞,新增项目,海南省三亚市,三亚市群众艺术馆
861,卡斯达温舞,新增项目,四川省黑水县,黑水县文化馆
862,?舞,新增项目,四川省九寨沟县,九寨沟县文化馆
863,傈僳族阿尺木刮,新增项目,云南省维西傈僳族自治县,维西傈僳族自治县非物质文化遗产保护中心
864,彝族葫芦笙舞,新增项目,云南省文山壮族苗族自治州,西畴县非物质文化遗产保护中心
865,彝族烟盒舞,新增项目,云南省红河哈尼族彝族自治州,石屏县文化馆
866,基诺大鼓舞,新增项目,云南省景洪市,景洪市文化馆
867,山南昌果卓舞,新增项目,西藏自治区,贡嘎县文化局（文物局）
868,卓舞（琼结久河卓舞）,扩展项目,西藏自治区琼结县,西藏琼结县文化局（文物局）
869,卓舞（热振曲卓）,扩展项目,西藏自治区拉萨市,林周县文化和旅游局（林周县文物局）
870,卓舞（斯马卓）,扩展项目,西藏自治区日喀则市,日喀则市桑珠孜区文化和旅游局
871,土族於菟,新增项目,青海省同仁县,同仁县文化馆
872,塔吉克族鹰舞,新增项目,新疆维吾尔自治区塔什库尔干塔吉克自治县,新疆塔什库尔干塔吉克自治县文化馆
873,鼓舞（花钹大鼓）,新增项目,北京市昌平区,北京市昌平区小汤山镇后牛坊村民委员会
874,鼓舞（隆尧招子鼓）,新增项目,河北省隆尧县,隆尧县文化馆
875,鼓舞（平定武迓鼓）,新增项目,山西省平定县,平定县文化馆（平定县美术馆）
876,鼓舞（大奏鼓）,新增项目,浙江省温岭市,温岭市石塘镇里箬村股份经济合作社
877,鼓舞（陈官短穗花鼓）,新增项目,山东省广饶县,广饶县文化馆
878,鼓舞（柳林花鼓）,新增项目,山东省冠县,冠县文化图书馆
879,鼓舞（花鞭鼓舞）,新增项目,山东省商河县,商河县文化馆（商河县京剧团、商河县美术馆）
880,鼓舞（八卦鼓舞）,新增项目,山东省栖霞市,栖霞市文化馆
881,鼓舞（横山老腰鼓）,新增项目,陕西省横山县,榆林市横山区文化馆（榆林市横山区文物保护所）
882,鼓舞（宜川胸鼓）,新增项目,陕西省宜川县,宜川县文化馆
883,鼓舞（凉州攻鼓子）,新增项目,甘肃省武威市,凉州区文化馆
884,鼓舞（武山旋鼓舞）,新增项目,甘肃省武山县,武山县文化馆
885,鼓舞（万荣花鼓）,扩展项目,山西省万荣县,万荣县文化馆
886,鼓舞（土沃老花鼓）,扩展项目,山西省沁水县,沁水县文化馆
887,鼓舞（稷山高台花鼓）,扩展项目,山西省稷山县,稷山县安福高台花鼓演艺中心
888,鼓舞（乌拉陈汉军旗单鼓舞）,扩展项目,吉林省吉林市,吉林市艺术研究所（吉林市非物质文化遗产保护研究中心）
889,鼓舞（辽西太平鼓）,扩展项目,辽宁省葫芦岛市,绥中县文化旅游事务服务中心
890,鼓舞（四筒鼓舞）,扩展项目,云南省昭通市昭阳区,昭通市昭阳区文化馆
891,鼓舞（彝族花鼓舞）,扩展项目,云南省玉溪市峨山彝族自治县,峨山彝族自治县文艺创作室（峨山彝族自治县文化遗产保护传承中心）
892,麒麟舞,新增项目,河北省黄骅市,黄骅市文化馆
893,麒麟舞,新增项目,河南省兰考县,兰考县人民文化馆
894,麒麟舞,新增项目,广东省海丰县,海丰县文化馆（海丰县非物质文化遗产保护中心）
895,麒麟舞（麒麟采八宝）,扩展项目,山西省侯马市,侯马市文化馆（市公共图书馆、市美术馆）
896,麒麟舞（睢县麒麟舞）,扩展项目,河南省睢县,睢县人民文化馆（睢县非物质文化遗产保护中心）
897,麒麟舞（坂田永胜堂舞麒麟）,扩展项目,广东省深圳市,深圳市龙岗区坂田街道公共事务中心
898,麒麟舞（大船坑舞麒麟）,扩展项目,广东省深圳市,深圳市龙华区大浪办事处大船坑麒麟协会
899,麒麟舞（樟木头舞麒麟）,扩展项目,广东省东莞市,东莞市樟木头镇文化服务中心（东莞市樟木头镇体育管理服务中心）
900,麒麟舞（西贡坑口客家舞麒麟）,扩展项目,香港特别行政区,香港西贡坑口区传统客家麒麟协会
901,竹马（东坝大马灯）,新增项目,江苏省高淳县,南京市高淳区文化馆
902,竹马（邳州跑竹马）,新增项目,江苏省邳州市,邳州市文化馆
903,竹马（蒋塘马灯舞）,扩展项目,江苏省溧阳市,溧阳市公共文化体育中心
904,竹马（淳安竹马）,扩展项目,浙江省淳安县,淳安县博物馆（淳安县文物保护管理所、淳安县非物质文化遗产保护中心）
905,灯舞（青田鱼灯舞）,新增项目,浙江省青田县,青田县非物质文化遗产研究保护中心
906,灯舞（东至花灯舞）,新增项目,安徽省东至县,东至县文化馆
907,灯舞（莆田九鲤灯舞）,新增项目,福建省莆田市,莆田市荔城区黄石镇和平村村民委员会
908,灯舞（鲤鱼灯舞）,新增项目,江西省吉安县,吉安县文化馆（吉安县非物质文化遗产保护中心）
909,灯舞（苏家作龙凤灯舞）,新增项目,河南省博爱县,焦作市苏家作龙凤灯舞保护协会
910,灯舞（沙头角鱼灯舞）,新增项目,广东省深圳市,深圳市盐田区沙溪沙头角鱼灯舞艺术服务中心
911,灯舞（无为鱼灯）,扩展项目,安徽省无为县,无为县文化馆
912,灯舞（上舍化龙灯）,扩展项目,浙江省安吉县,安吉县梅溪镇上舍村股份经济合作社
913,灯舞（青田百鸟灯舞）,扩展项目,浙江省青田县,青田县非物质文化遗产研究保护中心
914,灯舞（郧阳凤凰灯舞）,扩展项目,湖北省十堰市郧阳区,十堰市郧阳区文化馆
915,灯舞（吉水鳌鱼灯）,扩展项目,江西省吉安市吉水县,吉水县文化馆
916,灯舞（五虾闹鲇）,扩展项目,湖北省荆州市,荆州市群众艺术馆（荆州市艺术研究所）
917,沧州落子,新增项目,河北省南皮县,南皮县文化馆
918,十八蝴蝶,新增项目,浙江省永康市,永康市民间艺术表演协会
919,火老虎,新增项目,安徽省凤台县,安徽省凤台县文化馆
920,商羊舞,新增项目,山东省鄄城县,鄄城县文化馆
921,跑帷子,新增项目,河南省汤阴县,汤阴县文化馆
922,官会响锣,新增项目,河南省项城市,项城市文化馆（项城市非物质文化遗产保护中心）
923,肉连响,新增项目,湖北省利川市,利川市文化旅游事业发展中心
924,禾楼舞,新增项目,广东省郁南县,郁南县文化图书和博物馆
925,蜈蚣舞,新增项目,广东省汕头市澄海区,汕头市澄海区文化馆
926,翻山铰子,新增项目,四川省平昌县,平昌县文化馆
927,靖边跑驴,新增项目,陕西省靖边县,靖边县公共文化服务中心（靖边县文化馆、靖边县书画研究院）
928,查玛,新增项目,内蒙古自治区阿拉善盟,阿拉善左旗文化馆
929,朝鲜族鹤舞,新增项目,吉林省延边朝鲜族自治州,安图县文化馆（安图县文化中心）
930,鹤舞（三灶鹤舞）,扩展项目,广东省珠海市,珠海市金湾区三灶镇文化服务中心（珠海市金湾区三灶镇老干部活动中心）
931,朝鲜族长鼓舞,新增项目,吉林省图们市,图们市文化馆
932,瑶族长鼓舞,新增项目,湖南省江华瑶族自治县,江华瑶族自治县文化馆
933,瑶族长鼓舞,新增项目,广东省连南瑶族自治县,连南瑶族自治县文化馆
934,瑶族长鼓舞,新增项目,广西壮族自治区富川瑶族自治县,富川瑶族自治县文化馆
935,瑶族长鼓舞（小长鼓舞）,扩展项目,广东省连山壮族瑶族自治县,连山壮族瑶族自治县文化馆
936,瑶族长鼓舞（黄泥鼓舞）,扩展项目,广西壮族自治区金秀瑶族自治县,金秀瑶族自治县文化馆
937,傣族象脚鼓舞,新增项目,云南省潞西市,芒市文化馆（芒市非物质文化遗产保护中心）
938,傣族象脚鼓舞,新增项目,云南省西双版纳傣族自治州,西双版纳傣族自治州文化馆
939,羌族羊皮鼓舞,新增项目,四川省汶川县,汶川县文化馆
940,毛南族打猴鼓舞,新增项目,贵州省平塘县,平塘县文学艺术研究所（平塘县非物质文化遗产保护中心）
941,瑶族猴鼓舞,新增项目,贵州省荔波县,荔波县文化馆
942,高山族拉手舞,新增项目,福建省华安县,福建省华安县文化馆
943,得荣学羌,新增项目,四川省得荣县,得荣县文化馆
944,甲搓,新增项目,四川省盐源县,盐源县文化馆
945,博巴森根,新增项目,四川省理县,理县文化馆
946,彝族铃铛舞,新增项目,贵州省赫章县,赫章县文化馆
947,彝族打歌,新增项目,云南省巍山彝族回族自治县,巍山彝族回族自治县文化馆
948,彝族跳菜,新增项目,云南省南涧彝族自治县,南涧彝族自治县文化馆（南涧彝族自治县文物管理所、南涧彝族自治县非物质文化遗产保护中心）
949,彝族老虎笙,新增项目,云南省双柏县,双柏县文化馆
950,彝族左脚舞,新增项目,云南省牟定县,牟定县文化馆
951,乐作舞,新增项目,云南省红河县,红河县文化馆
952,彝族三弦舞（阿细跳月）,新增项目,云南省弥勒县,弥勒市文化馆
953,彝族三弦舞（撒尼大三弦）,新增项目,云南省石林彝族自治县,石林彝族自治县阿诗玛文化传承与保护中心（石林彝族自治县阿诗玛文化研究所、石林彝族自治县非物质文化遗产保护中心）
954,纳西族热美蹉,新增项目,云南省丽江市古城区,古城区非物质文化遗产保护管理中心
955,布朗族蜂桶鼓舞,新增项目,云南省双江拉祜族佤族布朗族傣族自治县,双江拉祜族佤族布朗族傣族自治县文化馆
956,普米族搓蹉,新增项目,云南省兰坪白族普米族自治县,兰坪白族普米族自治县非物质文化遗产保护中心
957,拉祜族芦笙舞,新增项目,云南省澜沧拉祜族自治县,澜沧拉祜族自治县文化馆
958,宣舞（古格宣舞）,新增项目,西藏自治区札达县,札达县文化旅游和体育局
959,宣舞（普堆巴宣舞）,新增项目,西藏自治区墨竹工卡县,墨竹工卡县文化和旅游局（墨竹工卡县文物局）
960,宣舞（札达卡尔玛宣舞）,扩展项目,西藏自治区阿里地区,阿里地区群众艺术馆
961,拉萨囊玛,新增项目,西藏自治区拉萨市,拉萨市城关区娘热民间艺术有限公司
962,堆谐（拉孜堆谐）,新增项目,西藏自治区拉孜县,拉孜县文化和旅游局（拉孜县文物局）
963,堆谐（甘孜踢踏）,扩展项目,四川省甘孜县,甘孜县文化馆
964,谐钦（拉萨纳如谐钦）,新增项目,西藏自治区拉萨市城关区,拉萨市文化局
965,谐钦（南木林土布加谐钦）,新增项目,西藏自治区南木林县,南木林县文化和旅游局
966,谐钦（尼玛乡谐钦）,扩展项目,西藏自治区班戈县,西藏那曲市班戈县文化和旅游局
967,阿谐（达布阿谐）,新增项目,西藏自治区比如县,西藏那曲市比如县文化和旅游局
968,嘎尔,新增项目,西藏自治区,西藏自治区群众艺术馆（西藏自治区非物质文化遗产保护中心）
969,芒康三弦舞,新增项目,西藏自治区芒康县,西藏自治区昌都市芒康县文化局
970,定日洛谐,新增项目,西藏自治区定日县,定日县文化和旅游局
971,旦嘎甲谐,新增项目,西藏自治区萨嘎县,萨嘎县文化和旅游局
972,廓孜,新增项目,西藏自治区曲水县,曲水县文化和旅游局（曲水县文物局）
973,多地舞,新增项目,甘肃省舟曲县,舟曲县文化馆
974,巴郎鼓舞,新增项目,甘肃省卓尼县,卓尼县文化馆
975,藏族螭鼓舞,新增项目,青海省循化撒拉族自治县,循化撒拉族自治县文化馆
976,则柔（尚尤则柔）,新增项目,青海省贵德县,贵德县人民文化馆
977,蒙古族萨吾尔登,新增项目,新疆维吾尔自治区和静县,和静县东归文化馆
978,萨吾尔登,扩展项目,新疆维吾尔自治区博湖县,博湖县非物质文化遗产保护中心
979,萨吾尔登,扩展项目,内蒙古自治区阿拉善盟额济纳旗,额济纳旗文化馆
980,锡伯族贝伦舞,新增项目,新疆维吾尔自治区察布查尔锡伯自治县,察布查尔锡伯自治县文化馆
981,维吾尔族赛乃姆,新增项目,新疆维吾尔自治区哈密地区,哈密市非物质文化遗产保护中心
982,维吾尔族赛乃姆,新增项目,新疆维吾尔自治区莎车县,莎车县文化馆
983,赛乃姆（若羌赛乃姆）,扩展项目,新疆维吾尔自治区若羌县,若羌县文化馆
984,赛乃姆（且末赛乃姆）,扩展项目,新疆维吾尔自治区且末县,且末县文化馆
985,赛乃姆（库尔勒赛乃姆）,扩展项目,新疆维吾尔自治区库尔勒市,库尔勒市文化馆
986,赛乃姆（伊犁赛乃姆）,扩展项目,新疆维吾尔自治区伊宁县,伊宁县文化馆（伊宁县文化艺术中心）
987,赛乃姆（库车赛乃姆）,扩展项目,新疆维吾尔自治区库车县,库车县文化馆
988,赛乃姆（和田赛乃姆）,扩展项目,新疆维吾尔自治区于田县,于田县文化馆
989,跳马伕,新增项目,江苏省如东县,如东县文化馆
990,仗鼓舞（桑植仗鼓舞）,新增项目,湖南省桑植县,桑植县非物质文化遗产保护中心
991,南县地花鼓,新增项目,湖南省南县,南县文化馆
992,跳花棚,新增项目,广东省化州市,化州市文化馆
993,老古舞,新增项目,海南省白沙黎族自治县,海南省白沙黎族自治县文化馆
994,跳曹盖,新增项目,四川省平武县,平武县非物质文化遗产保护中心
995,棕扇舞,新增项目,云南省元江哈尼族彝族傣族自治县,元江县文化馆
996,鄂温克族萨满舞,新增项目,内蒙古自治区根河市,根河市文化馆
997,协荣仲孜,新增项目,西藏自治区曲水县,曲水县文化和旅游局（曲水县文物局）
998,普兰果尔孜,新增项目,西藏自治区阿里地区,阿里地区群众艺术馆
999,陈塘夏尔巴歌舞,新增项目,西藏自治区定结县,定结县文化和旅游局
1000,巴当舞,新增项目,甘肃省岷县,岷县文化馆
1001,安昭,新增项目,青海省互助土族自治县,互助土族自治县文化馆
1002,萨玛舞,新增项目,新疆维吾尔自治区喀什市,喀什市文化馆
1003,哈萨克族卡拉角勒哈,新增项目,新疆维吾尔自治区伊犁哈萨克自治州,伊犁哈萨克自治州文化艺术研究所
1004,太子务武吵子,新增项目,北京市大兴区 ,北京市大兴区榆垡镇太子务村股份经济合作社
1005,左权小花戏,新增项目,山西省左权县 ,左权县人民文化馆
1006,博舞,新增项目,吉林省前郭尔罗斯蒙古族自治县 ,前郭尔罗斯蒙古族自治县草原文化馆
1007,洪泽湖渔鼓,新增项目,江苏省洪泽县 ,淮安市洪泽区文化馆
1008,洪泽湖渔鼓,新增项目,江苏省泗洪县 ,泗洪县文化馆
1009,龙岩采茶灯,新增项目,福建省龙岩市新罗区 ,龙岩市新罗区龙岩采茶灯研究会
1010,宜黄禾杠舞,新增项目,江西省宜黄县 ,宜黄县文化馆
1011,耍老虎,新增项目,河南省焦作市 ,焦作市文化馆（焦作市非物质文化遗产保护中心）
1012,棕包脑,新增项目,湖南省洞口县 ,洞口县非物质文化遗产保护中心
1013,瑶族金锣舞,新增项目,广西壮族自治区田东县 ,田东县文化馆
1014,玩牛,新增项目,重庆市石柱土家族自治县 ,石柱土家族自治县文化生态保护管理中心
1015,古蔺花灯,新增项目,四川省古蔺县 ,古蔺县文化馆
1016,登嘎甘㑇（熊猫舞）,新增项目,四川省九寨沟县 ,九寨沟县文化馆
1017,阿妹戚托,新增项目,贵州省晴隆县 ,晴隆县文化馆
1018,布依族转场舞,新增项目,贵州省册亨县 ,册亨县文化馆
1019,耳子歌,新增项目,云南省大理白族自治州 ,云龙县文化馆
1020,铓鼓舞,新增项目,云南省建水县 ,建水县非物质文化遗产保护中心
1021,水鼓舞,新增项目,云南省瑞丽市 ,瑞丽市文化馆
1022,怒族达比亚舞,新增项目,云南省福贡县 ,福贡县文化馆
1023,锅哇（玉树武士舞）,新增项目,青海省玉树藏族自治州 ,玉树州民间文化艺术协会
1024,纳孜库姆,新增项目,新疆维吾尔自治区吐鲁番市,吐鲁番市高昌区文化馆
1025,六郎庄五虎棍,新增项目,北京市海淀区,北京万柳置业集团有限公司
1026,翼城浑身板,新增项目,山西省临汾市翼城县,翼城县人民文化馆
1027,泰兴花鼓,新增项目,江苏省泰州市泰兴市,泰兴市文化馆
1028,佾舞,新增项目,福建省福州市福清市,福清市立达孔学会
1029,阴阳板,新增项目,山东省济宁市邹城市,邹城市文化旅游公共服务中心（邹城市图书馆、邹城市文化馆）
1030,海南苗族盘皇舞,新增项目,海南省五指山市,五指山市文化馆
1031,多耶,新增项目,广西壮族自治区柳州市三江侗族自治县,三江侗族自治县文化馆（三江侗族自治县非物质文化遗产保护与发展中心）
1032,壮族打扁担,新增项目,广西壮族自治区河池市都安瑶族自治县,都安瑶族自治县文化馆
1033,苗族古瓢舞,新增项目,贵州省黔东南苗族侗族自治州,黔东南州非物质文化遗产保护中心
1034,傣族白象、马鹿舞,新增项目,云南省,云南省非物质文化遗产保护中心
1035,陇西云阳板,新增项目,甘肃省定西市陇西县,甘肃省陇西县文化馆
1036,黄羊钱鞭,新增项目,宁夏回族自治区中卫市中宁县,中宁县文化馆
1037,俄罗斯族踢踏舞,新增项目,新疆维吾尔自治区塔城地区塔城市,塔城市文化馆
1038,昆曲,新增项目,北京市,北方昆曲剧院
1039,昆曲,新增项目,上海市,上海昆剧团
1040,昆曲,新增项目,江苏省,江苏省演艺集团有限公司，江苏省苏州昆剧院
1041,昆曲,新增项目,浙江省,永嘉昆剧团（浙江永嘉昆曲传习所）
1042,昆曲,新增项目,湖南省,湖南省昆剧团
1043,昆曲,新增项目,中国艺术研究院,中国艺术研究院
1044,梨园戏,新增项目,福建省泉州市,福建省梨园戏传承中心（福建省梨园戏实验剧团）
1045,莆仙戏,新增项目,福建省莆田市,莆田市艺术研究所
1046,潮剧,新增项目,广东省潮州市,潮州市潮剧团
1047,潮剧,新增项目,广东省汕头市,汕头市潮剧潮乐传承中心（广东潮剧院）
1048,潮剧,扩展项目,广东省揭阳市,揭阳市潮剧传承保护中心
1049,潮剧,扩展项目,福建省云霄县,云霄县潮剧传承保护中心
1050,弋阳腔,新增项目,江西省弋阳县,弋阳腔艺术保护中心
1051,青阳腔,新增项目,安徽省青阳县,青阳县文化馆
1052,青阳腔,新增项目,江西省湖口县,湖口县非物质文化遗产保护研究会
1053,高腔（西安高腔）,新增项目,浙江省衢州市,衢州市西安高腔传习所
1054,高腔（松阳高腔）,新增项目,浙江省松阳县,松阳县文化馆
1055,高腔（岳西高腔）,新增项目,安徽省岳西县,岳西高腔传承中心
1056,高腔（辰河高腔）,新增项目,湖南省辰溪县,辰溪县高腔艺术保护传承中心
1057,高腔（辰河高腔）,新增项目,湖南省泸溪县,泸溪县辰河高腔传习所
1058,高腔（常德高腔）,新增项目,湖南省常德市,常德市汉剧高腔保护中心
1059,新昌调腔,新增项目,浙江省新昌县,新昌县调腔保护传承发展中心
1060,宁海平调,新增项目,浙江省宁海县,宁海县平调艺术传承中心
1061,永安大腔戏,新增项目,福建省永安市,永安市青水畲族乡社会事务综合服务中心（加挂“永安市青水畲族乡退役军人服务站”牌子）
1062,四平戏,新增项目,福建省屏南县,屏南龙潭四平戏剧团
1063,四平戏,新增项目,福建省政和县,政和县文化馆
1064,川剧,新增项目,重庆市,重庆市川剧院
1065,川剧,新增项目,四川省,四川省艺术研究院
1066,湘剧,新增项目,湖南省衡阳市,衡阳湘剧艺术有限责任公司
1067,湘剧（涟源湘剧）,扩展项目,湖南省娄底市涟源市,涟源市湘剧保护传承中心
1068,广昌孟戏,新增项目,江西省广昌县,江西省广昌县文化馆
1069,正字戏,新增项目,广东省陆丰市,陆丰市正字戏传承保护中心
1070,秦腔,新增项目,陕西省,西安易俗社文化研究院
1071,秦腔,扩展项目,甘肃省秦剧团,甘肃秦腔艺术剧院有限责任公司
1072,秦腔 ,扩展项目,宁夏回族自治区,宁夏演艺集团秦腔剧院有限公司
1073,秦腔 ,扩展项目,新疆生产建设兵团 ,新疆生产建设兵团猛进秦剧团
1074,汉调桄桄,新增项目,陕西省汉中市,汉中市群众艺术馆（汉中市非物质文化遗产保护中心）
1075,晋剧,新增项目,山西省,山西省晋剧院
1076,晋剧,扩展项目,河北省张家口市,张家口戏曲艺术研究院
1077,晋剧,扩展项目,山西省太原市,太原市晋剧艺术研究院
1078,晋剧,扩展项目,河北省井陉县,井陉县文化馆
1079,晋剧,扩展项目,内蒙古自治区呼和浩特市,呼和浩特市群众艺术馆
1080,晋剧 ,扩展项目,山西省晋中市 ,晋中市晋剧和民间艺术研究院
1081,蒲州梆子,新增项目,山西省临汾市,临汾蒲剧院
1082,蒲州梆子,新增项目,山西省运城市,山西省运城市蒲剧团
1083,北路梆子,新增项目,山西省忻州市,忻州文化研究院（五台山研究院）
1084,北路梆子,扩展项目,山西省大同市,大同市北路梆子和耍孩剧种保护传习中心
1085,上党梆子,新增项目,山西省晋城市,晋城市文化和旅游发展研究中心
1086,上党梆子,扩展项目,山西省长治市,长治市上党梆子剧团
1087,河北梆子,新增项目,河北省,河北省河北梆子剧院演艺有限公司
